gene	gene_name	pvalue	n	n_indep	p_i_best	t_i_best	p_i_worst	t_i_worst	eigen_max	eigen_min	eigen_min_kept	z_min	z_max	z_mean	z_sd	tmi	status
ENSG00000120800.4	UTP20	0.029380081	10	1	0.025506443	mashr_Brain_Anterior_cingulate_cortex_BA24	0.114798261	mashr_Brain_Substantia_nigra	9.922968117	2.78E-17	9.922968117	-2.233644962	2.233644962	1.721250285	1.404848526	1	0
ENSG00000133112.16	TPT1	0.029567429	11	1	0.027040165	mashr_Brain_Amygdala	0.337369853	mashr_Brain_Caudate_basal_ganglia	7.627965225	6.47E-17	7.627965225	-2.2109375	1.240963817	-1.645263827	1.054315172	1	0
ENSG00000269892.1	RP4-761J14.10	0.029571305	7	1	0.012711626	mashr_Brain_Substantia_nigra	0.409185674	mashr_Brain_Caudate_basal_ganglia	4.74845751	6.08E-17	4.74845751	0.825327516	2.491747801	1.819416913	0.498382571	1	0
ENSG00000258733.5	CTD-2341M24.1	0.029599743	11	1	0.01618791	mashr_Brain_Anterior_cingulate_cortex_BA24	0.077962612	mashr_Brain_Substantia_nigra	10.48653556	3.96E-17	10.48653556	1.76263179	2.404651165	2.124179863	0.313804937	1	0
ENSG00000164967.9	RPP25L	0.029661168	10	1	0.011918911	mashr_Pituitary	0.911528237	mashr_Brain_Hippocampus	7.401010157	4.59E-18	7.401010157	-2.514536064	0.111111112	-1.779040472	0.814247897	1	0
ENSG00000148308.17	GTF3C5	0.029707788	11	1	0.011107612	mashr_Pituitary	0.196907996	mashr_Brain_Hippocampus	8.331997239	6.77E-18	8.331997239	-2.539295004	-1.290410995	-1.907979302	0.596637041	1	0
ENSG00000107864.14	CPEB3	0.02971179	4	1	0.000522136	mashr_Brain_Cortex	0.093315691	mashr_Brain_Hypothalamus	3.57285858	5.30E-19	3.57285858	-3.469135761	1.678160906	0.391336739	2.573648334	1	0
ENSG00000260947.1	RP11-384P7.7	0.029722696	11	1	0.014531751	mashr_Brain_Hippocampus	0.120540917	mashr_Brain_Cortex	10.39876997	3.02E-18	10.39876997	-2.443842941	-1.552507175	-2.109216993	0.314484755	1	0
ENSG00000011485.14	PPP5C	0.029754126	11	1	0.029474356	mashr_Brain_Putamen_basal_ganglia	0.323027949	mashr_Spleen	7.97262503	4.85E-17	7.97262503	-2.177083254	-0.98825465	-1.823983802	0.383172494	1	0
ENSG00000226548.1	AC016722.3	0.029764761	2	1	0.038249092	mashr_Brain_Putamen_basal_ganglia	0.305575173	mashr_Brain_Nucleus_accumbens_basal_ganglia	1.015251236	0.984748764	1.015251236	-2.07217534	1.024550835	-0.523812253	2.189716078	1	0
ENSG00000226846.1	LINC00348	0.029799327	3	1	0.02924023	mashr_Pituitary	0.194331218	mashr_Brain_Putamen_basal_ganglia	2.07888472	0.22933738	2.07888472	-2.180232525	-1.297872305	-1.843066613	0.476546692	1	0
ENSG00000248383.4	PCDHAC1	0.029866776	9	1	0.026558578	mashr_Brain_Caudate_basal_ganglia	0.902479573	mashr_Brain_Substantia_nigra	6.998881946	4.43E-17	6.998881946	-2.217945064	0.122529641	-1.717304998	0.900432873	1	0
ENSG00000225386.1	AC099754.1	0.029877003	1	1	0.029877003	mashr_Brain_Caudate_basal_ganglia	0.029877003	mashr_Brain_Caudate_basal_ganglia	1	1	1	-2.171717167	-2.171717167	-2.171717167	NA	1	0
ENSG00000282608.1	ADORA3	0.029898529	9	1	0.001179041	mashr_Brain_Putamen_basal_ganglia	0.321464435	mashr_Brain_Hippocampus	6.250916288	8.83E-18	6.250916288	-3.243902445	-0.991452992	-1.78009748	1.101101101	1	0
ENSG00000241163.7	LINC00877	0.029932475	4	1	0.017444079	mashr_Brain_Putamen_basal_ganglia	0.048040337	mashr_Brain_Cortex	3.780673659	3.41E-18	3.780673659	1.977011442	2.37721157	2.11300147	0.18872725	1	0
ENSG00000148672.8	GLUD1	0.02995191	7	1	0.020055862	mashr_Brain_Cortex	0.51759386	mashr_Brain_Caudate_basal_ganglia	4.268962977	1.10E-16	4.268962977	-2.32530117	-0.647058845	-1.64651183	0.681810358	1	0
ENSG00000170522.9	ELOVL6	0.030007029	3	1	0.029981888	mashr_Brain_Amygdala	0.931132744	mashr_Brain_Hypothalamus	2.001796114	1.46E-16	2.001796114	0.086419754	2.170329571	1.475692965	1.203145894	1	0
